sentence,city,place,day,time
take me from hotel to nabeul  leyl,nabeul,hotel,,leyl
nemchi bizerte mercredi sbeh,bizerte,gare,mercredi,sbeh
aller à hammamet dimanche leyl,hammamet,aéroport,dimanche,leyl
aller à tunis mercredi dhuhr,tunis,,mercredi,dhuhr
take me from aéroport to monastir mardi matin,monastir,aéroport,mardi,matin
aller à kairouan el-talata,kairouan,maison,el-talata,
I need a taxi to sfax next tuesday matin,sfax,hotel,next tuesday,matin
I need a taxi to kairouan el-lahad après-midi,kairouan,gare,el-lahad,après-midi
I need a taxi to sousse apres-demain soir,sousse,maison,apres-demain,soir
أريد الذهاب إلى sousse mardi après-midi,sousse,hotel,mardi,après-midi
أريد الذهاب إلى bizerte next tuesday après-midi,bizerte,,next tuesday,après-midi
take me from hotel to hammamet el-talata après-midi,hammamet,hotel,el-talata,après-midi
khodni men gare lel hammamet el-lahad après-midi,hammamet,gare,el-lahad,après-midi
take me from bureau to tunis,tunis,bureau,,
take me from bureau to sfax ghodwa maghreb,sfax,bureau,ghodwa,maghreb
أريد الذهاب إلى hammamet next tuesday,hammamet,gare,next tuesday,
أريد الذهاب إلى kairouan mardi now,kairouan,aéroport,mardi,now
take me from maison to sfax mardi asr,sfax,maison,mardi,asr
khodni men bureau lel tunis  sbeh,tunis,bureau,,sbeh
aller à kairouan vendredi maghreb,kairouan,aéroport,vendredi,maghreb
nemchi sousse lundi dhuhr,sousse,gare,lundi,dhuhr
aller à sfax ghodwa maghreb,sfax,,ghodwa,maghreb
nemchi monastir mardi now,monastir,,mardi,now
khodni men hotel lel sfax mardi après-midi,sfax,hotel,mardi,après-midi
أريد الذهاب إلى hammamet  asr,hammamet,,,asr
khodni men aéroport lel sousse  soir,sousse,aéroport,,soir
nemchi tunis samedi matin,tunis,,samedi,matin
I need a taxi to sousse  après-midi,sousse,gare,,après-midi
I need a taxi to sousse  après-midi,sousse,,,après-midi
I need a taxi to monastir apres-demain sbeh,monastir,maison,apres-demain,sbeh
take me from  to sousse  leyl,sousse,,,leyl
nemchi sfax lundi leyl,sfax,gare,lundi,leyl
aller à monastir  matin,monastir,bureau,,matin
