text,DESTINATION,DEPARTURE,DATE,TIME
nheb nemchi hammamet ghodwa 18h,hammamet,,ghodwa,18h
khodni lel matar tawwa,matar,,tawwa,
bch nemchi sousse el-jemaa fel sbeh,sousse,,el-jemaa,sbeh
nemchi sfax min el-maktab el-khamis ba3d dhuhr,sfax,el-maktab,el-khamis,ba3d dhuhr
3aybni taxi men hne lel funduk el-ahad 3achiya,funduk,hne,el-ahad,3achiya
nheb nemchi aeroport ghodwa 8h30 min beit,aeroport,beit,ghodwa,8h30
khodni men dar lel matar el-itnin sbeh,matar,dar,el-itnin,sbeh
nemchi monastir ba3d ghodwa,monastir,,ba3d ghodwa,
taxi men ennasr lel lac tawwa,lac,ennasr,tawwa,
wein bch nemchi lyoum el-lil,,,lyoum,el-lil
nemchi nabeul el-talata sbeh,nabeul,,el-talata,sbeh
3aybni men beit lel gare ghodwa,gare,beit,ghodwa,
khodni lel funduk lyoum dhuhr,funduk,,lyoum,dhuhr
nemchi bizerte el-arba3 3achiya,bizerte,,el-arba3,3achiya
taxi men bureau lel matar el-jemaa sbeh,matar,bureau,el-jemaa,sbeh
nemchi kairouan ghodwa 10h,kairouan,,ghodwa,10h
khodni lel marsa el-ahad leyl,marsa,,el-ahad,leyl
taxi men dar lel hotel tawwa,hotel,dar,tawwa,
nemchi sfax ba3d ghodwa 7h,sfax,,ba3d ghodwa,7h
3aybni men el-maktab lel aeroport el-khamis 14h,aeroport,el-maktab,el-khamis,14h
nemchi djerba el-jemaa el-jaya,djerba,,el-jemaa el-jaya,
khodni lel mahatta ghodwa sbeh,mahatta,,ghodwa,sbeh
taxi men beit lel centre el-itnin 9h30,centre,beit,el-itnin,9h30
nemchi sousse tawwa fel dhuhr,sousse,,tawwa,dhuhr
wein bch taxi men dar lel matar,matar,dar,,
je veux aller a tunis demain matin,tunis,,demain,matin
taxi de la marsa vers le centre demain a 14h,centre,la marsa,demain,14h
aller de bizerte a nabeul mercredi a 9h,nabeul,bizerte,mercredi,9h
taxi depuis mon bureau jusqu a sfax vendredi soir,sfax,bureau,vendredi,soir
aller a sousse ce soir a 20h,sousse,,ce soir,20h
je pars de tunis vers monastir lundi matin,monastir,tunis,lundi,matin
