text,DESTINATION,DEPARTURE,DATE,TIME
taxi lel hammamet,hammamet,,,
wein taxi lel matar,matar,,,
khodni lel gare,gare,,,
nemchi sousse tawwa,sousse,,,
nheb nemchi hammamet ghodwa,hammamet,,ghodwa,
taxi lel sfax el-jemaa,sfax,,el-jemaa,
lazem nemchi nabeul el-itnin,nabeul,,el-itnin,
bch nemchi sousse el-ahad,sousse,,el-ahad,
nemchi kairouan ba3d ghodwa,kairouan,,ba3d ghodwa,
taxi lel bizerte el-talata,bizerte,,el-talata,
taxi lel tunis sbeh,tunis,,,sbeh
khodni sfax 3achiya,sfax,,,3achiya
nemchi matar 6h30,matar,,,6h30
khodni sfax el-jemaa leyl,sfax,,el-jemaa,leyl
nheb nemchi hammamet ghodwa 18h,hammamet,,ghodwa,18h
bch nemchi sfax el-jemaa fel sbeh,sfax,,el-jemaa,fel sbeh
khodni lel matar tawwa,matar,,tawwa,
wein taxi lel sousse el-ahad 10h,sousse,,el-ahad,10h
lazem nkoun fel matar el-jemaa 6h30,matar,,el-jemaa,6h30
taxi lel bizerte el-arba3 3achiya,bizerte,,el-arba3,3achiya
nemchi monastir el-sebt 9h30,monastir,,el-sebt,9h30
khodni lel hospital tawwa,hospital,,tawwa,
nemchi kairouan ba3d ghodwa 11h,kairouan,,ba3d ghodwa,11h
nheb nemchi djerba lyoum,djerba,,lyoum,
bch nemchi la marsa el-khamis dhuhr,la marsa,,el-khamis,dhuhr
nemchi sfax el-talata nouss el-lil,sfax,,el-talata,nouss el-lil
taxi lel itnin 8h30,,,itnin,8h30
taxi men sfax lel lac ghodwa 18h,lac,sfax,ghodwa,18h
nemchi sfax min el-maktab el-khamis ba3d dhuhr,sfax,el-maktab,el-khamis,ba3d dhuhr
taxi men ennasr lel lac lyoum 20h,lac,ennasr,lyoum,20h
3aybni taxi men beit lel tunis ghodwa sbeh,tunis,beit,ghodwa,sbeh
nemchi tunis men hotel el-talata 14h,tunis,hotel,el-talata,14h
