sentence,city,place,day,time
khodni men maison lel hammamet samedi matin,hammamet,maison,samedi,matin
aller à monastir ghodwa,monastir,bureau,ghodwa,
nemchi nabeul next tuesday leyl,nabeul,aéroport,next tuesday,leyl
أريد الذهاب إلى kairouan mercredi matin,kairouan,bureau,mercredi,matin
أريد الذهاب إلى hammamet mercredi leyl,hammamet,gare,mercredi,leyl
take me from bureau to nabeul dimanche asr,nabeul,bureau,dimanche,asr
take me from maison to sousse ghodwa matin,sousse,maison,ghodwa,matin
I need a taxi to hammamet dimanche après-midi,hammamet,aéroport,dimanche,après-midi
take me from bureau to nabeul el-lahad now,nabeul,bureau,el-lahad,now
take me from aéroport to bizerte lyoum soir,bizerte,aéroport,lyoum,soir
take me from  to monastir ghodwa soir,monastir,,ghodwa,soir
I need a taxi to sfax mardi matin,sfax,,mardi,matin
aller à nabeul el-talata now,nabeul,bureau,el-talata,now
khodni men gare lel sousse lyoum sbeh,sousse,gare,lyoum,sbeh
aller à sfax mercredi asr,sfax,maison,mercredi,asr
take me from maison to hammamet el-talata après-midi,hammamet,maison,el-talata,après-midi
khodni men gare lel monastir el-talata now,monastir,gare,el-talata,now
khodni men hotel lel sousse lundi dhuhr,sousse,hotel,lundi,dhuhr
I need a taxi to monastir vendredi now,monastir,,vendredi,now
I need a taxi to bizerte mercredi sbeh,bizerte,maison,mercredi,sbeh
aller à nabeul vendredi sbeh,nabeul,maison,vendredi,sbeh
I need a taxi to bizerte mercredi soir,bizerte,bureau,mercredi,soir
khodni men bureau lel tunis apres-demain matin,tunis,bureau,apres-demain,matin
I need a taxi to hammamet mercredi now,hammamet,bureau,mercredi,now
aller à sousse el-talata now,sousse,gare,el-talata,now
أريد الذهاب إلى kairouan lyoum matin,kairouan,maison,lyoum,matin
I need a taxi to nabeul el-lahad asr,nabeul,,el-lahad,asr
أريد الذهاب إلى tunis el-lahad après-midi,tunis,hotel,el-lahad,après-midi
أريد الذهاب إلى sfax dimanche dhuhr,sfax,gare,dimanche,dhuhr
I need a taxi to bizerte jeudi leyl,bizerte,bureau,jeudi,leyl
aller à sfax mardi asr,sfax,bureau,mardi,asr
I need a taxi to tunis mercredi now,tunis,maison,mercredi,now
take me from  to sousse vendredi now,sousse,,vendredi,now
أريد الذهاب إلى kairouan samedi,kairouan,maison,samedi,
take me from gare to monastir apres-demain leyl,monastir,gare,apres-demain,leyl
nemchi tunis  leyl,tunis,,,leyl
nemchi sfax vendredi sbeh,sfax,aéroport,vendredi,sbeh
أريد الذهاب إلى sousse el-jemaa sbeh,sousse,hotel,el-jemaa,sbeh
aller à tunis lyoum après-midi,tunis,hotel,lyoum,après-midi
أريد الذهاب إلى bizerte lyoum,bizerte,hotel,lyoum,
nemchi bizerte mardi sbeh,bizerte,aéroport,mardi,sbeh
nemchi hammamet ghodwa leyl,hammamet,,ghodwa,leyl
aller à monastir el-jemaa matin,monastir,,el-jemaa,matin
I need a taxi to sousse dimanche leyl,sousse,hotel,dimanche,leyl
take me from gare to kairouan el-jemaa asr,kairouan,gare,el-jemaa,asr
khodni men maison lel kairouan jeudi asr,kairouan,maison,jeudi,asr
aller à monastir lyoum sbeh,monastir,bureau,lyoum,sbeh
nemchi sousse,sousse,gare,,
أريد الذهاب إلى hammamet lundi now,hammamet,bureau,lundi,now
nemchi sfax el-talata now,sfax,aéroport,el-talata,now
take me from hotel to sousse mercredi après-midi,sousse,hotel,mercredi,après-midi
أريد الذهاب إلى hammamet el-lahad now,hammamet,,el-lahad,now
nemchi monastir el-jemaa dhuhr,monastir,bureau,el-jemaa,dhuhr
khodni men bureau lel kairouan samedi après-midi,kairouan,bureau,samedi,après-midi
aller à hammamet vendredi après-midi,hammamet,maison,vendredi,après-midi
I need a taxi to kairouan jeudi dhuhr,kairouan,bureau,jeudi,dhuhr
أريد الذهاب إلى hammamet lyoum soir,hammamet,hotel,lyoum,soir
أريد الذهاب إلى nabeul lyoum sbeh,nabeul,aéroport,lyoum,sbeh
nemchi nabeul mercredi maghreb,nabeul,aéroport,mercredi,maghreb
nemchi bizerte dimanche asr,bizerte,,dimanche,asr
أريد الذهاب إلى monastir mardi maghreb,monastir,hotel,mardi,maghreb
I need a taxi to sousse el-jemaa après-midi,sousse,hotel,el-jemaa,après-midi
aller à nabeul ghodwa dhuhr,nabeul,bureau,ghodwa,dhuhr
khodni men hotel lel hammamet el-jemaa après-midi,hammamet,hotel,el-jemaa,après-midi
أريد الذهاب إلى kairouan samedi matin,kairouan,bureau,samedi,matin
I need a taxi to sousse el-lahad dhuhr,sousse,,el-lahad,dhuhr
أريد الذهاب إلى hammamet dimanche dhuhr,hammamet,maison,dimanche,dhuhr
nemchi nabeul lundi soir,nabeul,maison,lundi,soir
nemchi monastir apres-demain sbeh,monastir,gare,apres-demain,sbeh
aller à hammamet mercredi now,hammamet,aéroport,mercredi,now
I need a taxi to nabeul apres-demain maghreb,nabeul,,apres-demain,maghreb
aller à hammamet lundi matin,hammamet,bureau,lundi,matin
take me from bureau to monastir ghodwa après-midi,monastir,bureau,ghodwa,après-midi
take me from  to sfax dimanche now,sfax,,dimanche,now
aller à hammamet dimanche now,hammamet,hotel,dimanche,now
أريد الذهاب إلى tunis mercredi sbeh,tunis,bureau,mercredi,sbeh
nemchi sousse jeudi maghreb,sousse,aéroport,jeudi,maghreb
khodni men maison lel sousse el-lahad sbeh,sousse,maison,el-lahad,sbeh
أريد الذهاب إلى sfax samedi asr,sfax,aéroport,samedi,asr
nemchi hammamet  dhuhr,hammamet,aéroport,,dhuhr
take me from maison to nabeul apres-demain,nabeul,maison,apres-demain,
